sku,barcode,name,category_main,category_sub,cost,price_retail,price_credit,unit,source,date_bought
,8858201010692,ฟุตมิเนียม คาดสี 12 นิ้ว ARC-12,,, 13.17 , 20.00 , 20.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858201010678,ฟุตมิเนียม คาดสี 6 นิ้ว ARC-6,,, 8.33 , 12.00 , 15.00 ,อัน,อ.อัษฎางค์,22 March 2568
,90044625,มาลินี กบเหลา 1 รู คละลาย,,, 4.17 , 7.00 , 7.00 ,อัน,อ.อัษฎางค์,22 March 2568
,90012044,"มาลินี กบเหลา 2 รู, กบ 1 รู + ยางลบ",,, 5.75 , 10.00 , 10.00 ,อัน,อ.อัษฎางค์,22 March 2568
,20105075,มาลินี ชุดเครื่องเขียน NO.9914,,, 16.00 , 35.00 , 35.00 ,ชุด,อ.อัษฎางค์,22 March 2568
,90043703,มาลินี ชุดเครื่องเขียน WS-9911,,, 9.58 , 15.00 , 16.00 ,ชุด,อ.อัษฎางค์,22 March 2568
,90044731,มาลินี ดินสอต่อไส้ หัวการ์ตูน (3 Barcode),,, 5.42 , 10.00 , 10.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,90044724,"มาลินี ปากกาลบได้ รุ่นปลอก, กด",,, 5.00 , 12.00 , 12.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,6831981010085,มาลินี ไม้บรรทัดเกมส์ 20 cm #1008,,, 7.25 , 16.00 , 16.00 ,อัน,อ.อัษฎางค์,22 March 2568
,6932637007036,มาลินี ไม้บรรทัดเกมส์พับ 30 cm,,, 5.42 , 15.00 , 15.00 ,อัน,อ.อัษฎางค์,22 March 2568
,90045004,มาลินี ไม้บรรทัดคั่นสมุด 18 cm,,, 3.83 , 8.00 , 8.00 ,อัน,อ.อัษฎางค์,22 March 2568
,6972917944224,มาลินี ยางลบ #6612P24,,, 4.08 , 10.00 , 10.00 ,ก้อน,อ.อัษฎางค์,22 March 2568
,6930986011346,มาลินี ยางลบ 24 ก้อน รูปสัตว์/8037,,, 3.13 , 6.00 , 6.00 ,ก้อน,อ.อัษฎางค์,22 March 2568
,6943526025895,มาลินี ยางลบ 30 ก้อน,,, 2.50 , 5.00 , 5.00 ,ก้อน,อ.อัษฎางค์,22 March 2568
,90044670,มาลินี ยางลบ 48 ก้อน (คละลาย),,, 1.56 , 3.00 , 3.00 ,ก้อน,อ.อัษฎางค์,22 March 2568
,90045288,มาลินี ไส้ดินสอ 2B 0.5 NO.863,,, 2.50 , 5.00 , 5.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
,8851907134079,มาสเตอร์อาร์ต กบเหลาดินสอเบอร์ No.5   ,,, 3.30 , 6.00 , 6.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8851907273231,มาสเตอร์อาร์ต ดินสอสี 2 หัว 36 สี,,, 70.00 , 130.00 , 130.00 ,กล่อง,อ.อัษฎางค์,22 March 2568
